	M13-1	M13-7	M13-16	M13-18	M13-23	M13-25	M13-30	M13-33	M13-35	M13-40	M13-43	M13-45	M13-47	M13-49	UC179	UC21	UC397	UC264	UC220	UC51	UC222	UC13	UC30	UC99	UC95	UC338	UC100	UC54	UC56	UC384	UC43	UC98	UC50	UC129	UC77	UC357
ENSG00000000003	0.0145368963725778	0.8521781820822696	0.6680291271760154	0.2714938810686415	0.8649973356532503	0.4011406100774481	0.758324271739243	0.1309587979469678	0.5071330021510027	0.6114342889778632	0.8164087388642169	0.6751994175582439	0.0921062795440334	0.3233107871141498	0.4623907824246563	0.6767248667586929	0.7390372985941877	0.9851115717658446	0.4153526076250795	0.098378513227175	0.5975291734567272	0.0689634874147225	0.9621237165042796	0.8292844823001819	0.2550731515648842	0.3408349963675559	0.1022359075360903	0.4326717691831617	0.1023425387133365	0.9613443163000782	0.3241421169592143	0.832625513320392	0.2253009311508058	0.67997348508126	0.6825544889025652	0.519520337162271
ENSG00000000419	0.6263663208344681	0.8041867174037515	0.4720380903064024	0.3340054374670934	0.6357364296780934	0.7293344319800473	0.0675705599242831	0.0233304492476286	0.8803415348541865	0.8548388699950072	0.8005245129528327	0.062478665154716	0.9066585421810934	0.9657641698262888	0.2101520494472207	0.8309400916887901	0.0535350528646629	0.6806682015889617	0.1718389373412964	0.6800585880703979	0.3230597701599956	0.5157610486917714	0.3979011498709042	0.3103882744876928	0.7758401292118229	0.158190841724505	0.5906614323172084	0.222050526648705	0.7789709498536874	0.4690331464762997	0.0780709051334658	0.923369807122304	0.7294092243101262	0.3235354070288049	0.7869676247413382	0.3452496015520835
ENSG00000000457	0.0049934576136553	0.9608802536459669	0.2062391471094654	0.7630866452487562	0.0162589484789691	0.9085876809185258	0.967541938232259	0.5102822572423306	0.8164549234228127	0.5064251475920599	0.1212873073163224	0.0752306783732494	0.930425224619746	0.3068820859040441	0.4077617114913927	0.0452331442395362	0.8049091618289923	0.8367141324869279	0.7663773642267784	0.3639654878227689	0.9823870798385892	0.3427599503199158	0.5342925378213811	0.8268235511728572	0.6550367312430645	0.9349259579147432	0.1094635967600386	0.3749127806873872	0.5085166206356282	0.9573057971409158	0.7465864577037139	0.9443635490120038	0.7420873201651779	0.8811169310818194	0.5818611234050397	0.9174224509578008
ENSG00000000460	0.2050256538953769	0.5971085752356237	0.7262127847742452	0.7941973318716886	0.0925600241786078	0.0572074020906627	0.1047453951886136	0.8717320026784041	0.9685356847561414	0.8560828741148541	0.5912691782679436	0.3208443426710362	0.5979334677438692	0.3935700679403231	0.1239732959040858	0.2820068773276413	0.0159045723999674	0.661828345663921	0.3644725129532791	0.2200044881312377	0.7685204367717445	0.4733170153516044	0.8568832096977086	0.7964474172227021	0.0316662863699332	0.2829222905595104	0.9505310886923296	0.6858618140144213	0.8186438512090446	0.3076225059613174	0.384184806877456	0.982906435305784	0.7714813094516464	0.9494846009536934	0.760589778735913	0.4861947119952856
ENSG00000000938	0.9625599391166364	0.6358132911694261	0.2787785085215094	0.978007416785752	0.6129681441034949	0.078898672109917	0.1413028438008344	0.8949754522875984	0.6148855058947817	0.6204429134092491	0.6221128919429773	0.7700059861776977	0.4123345585396042	0.9476985031970928	0.6191083333134786	0.7692010561580446	0.4299895500700401	0.1192912132941922	0.3001757912895444	0.2621465297459776	0.4916452195776521	0.4427464984050299	0.3295526791428939	0.8601434060573034	0.6308386150101978	0.7031143908620461	0.0006994375795548	0.6052118880472783	0.5593210901645226	0.9182113913724514	0.151361011304613	0.9428535075742596	0.1517868635469253	0.1969668079048853	0.8513701130229937	0.9014341645655256
ENSG00000000971	0.7016264608064902	0.320572779733009	0.9050364693142888	0.5366562760873318	0.1766426425241749	0.4285411793955619	0.0046119221974396	0.1995276672138543	0.8885950015603614	0.2530650916375757	0.641004064366987	0.1566707415589237	0.5133297736779344	0.0594972263098951	0.1130412176587162	0.8723921918259692	0.5882887717235012	0.3445831906720255	0.7544997519049506	0.6260494049184635	0.9618343835582748	0.0524487620452123	0.8312719035456639	0.6203709692920225	0.1578483106009641	0.3083760237744462	0.4783639880571341	0.6309070113590529	0.359807480679583	0.853821070579336	0.6781304033569147	0.7751466008305428	0.8534334646752062	0.6663108198944112	0.9696173486424796	0.7571138643692482
ENSG00000001036	0.6186786512028302	0.388310680946823	0.7131501281563661	0.1887143831608106	0.3082578372838076	0.3114292951654004	0.8469301047876054	0.9678937402731406	0.7314685825915476	0.1078457171433459	0.4576940745890481	0.9273714467966176	0.7818002936326057	0.8256546118175936	0.9217333536414926	0.2593741216462762	0.0068759130131484	0.6017202647693531	0.0027030730398103	0.6620978505121324	0.916835420570347	0.8457755423371276	0.7106085932878494	0.6922578569820865	0.2579757012162459	0.6792965766841796	0.5496553576150346	0.3309358475750478	0.416989810933043	0.9070619165827272	0.7499955712161661	0.9772594925692634	0.2292999406040095	0.1028238554045576	0.7158426105980822	0.982016111826518
ENSG00000001084	0.6611832249718081	0.7433974090814814	0.4942183798509887	0.8759987445261049	0.1948659652895665	0.2339773639046733	0.2872706463232518	0.8827362390270781	0.1455563527332766	0.9152637004280822	0.4292800214847435	0.7320450984670677	0.4845016896737669	0.9230540899554422	0.0067256395388782	0.7887396042570214	0.3209888671229568	0.4266461908502884	0.80555323987709	0.1337883483752404	0.6879351221127078	0.810886920049626	0.1592616017170569	0.6511602757606548	0.3432767137201313	0.1035572191536288	0.0813751175346444	0.0868169640090443	0.8930765035173359	0.6106477600178963	0.9309920387156474	0.9751065228679744	0.5638329094309062	0.4804475325608666	0.7607583443891514	0.2032884597711941
ENSG00000001167	0.9241450877531996	0.647687198370613	0.3221904669236662	0.729579952312214	0.0176542414735053	0.4739331861180574	0.7709522075099592	0.6104686466393496	0.4124220933144461	0.8662211949955778	0.8929515678834865	0.1733011645404614	0.062504878831952	0.7538539391126714	0.7645791981538714	0.3609487290321546	0.6227446774223456	0.800507333529573	0.276148678102936	0.3002476985597895	0.473254261426359	0.1783748943862283	0.859710049938339	0.4912527805199606	0.9301509631590816	0.1993901425022229	0.0800099300790728	0.7041911653844533	0.4395329457148078	0.4129662423575941	0.0897427406342258	0.8473199084467868	0.9481297501189362	0.3196372283337254	0.6430372121739985	0.0459809795276454
ENSG00000001460	0.2168028026662197	0.8954281298406943	0.6488672286043703	0.3544401635096991	0.1928988736403611	0.7366434458680102	0.8627981887126213	0.9465747726793482	0.2818701457683018	0.6313279756563428	0.6593217964149293	0.1528380998171036	0.4604949684922343	0.3886634734031158	0.0180154604784187	0.0185427022766981	0.7427198692349574	0.0060134660073587	0.7661672116889398	0.7940916825467169	0.5352563447725356	0.7860487889621075	0.4015378009389083	0.3567834883481002	0.1995756094394329	0.954968277834898	0.7855048639314999	0.972969774384621	0.999894648544468	0.7472341282279935	0.9296722589664436	0.9810156490689248	0.7410158683033962	0.2574472439382178	0.9352021322438778	0.3311433473148142
