M13-1	M13-7	M13-16	M13-18	M13-23	M13-25	M13-30	M13-33	M13-35	M13-40	M13-43	M13-45	M13-47	M13-49	UC179	UC21	UC397	UC264	UC220	UC51	UC222	UC13	UC30	UC99	UC95	UC338	UC100	UC54	UC56	UC384	UC43	UC98	UC50	UC129	UC77	UC357
ENSG00000002330	283.5	303.2	240.7	286.27	274.54	297.68	309.92	316.97	285.78	279.97	371.91	364.59	284.78	372.14	347.71	333.09	268.31	288.73	290.84	304.63	350.06	312.12	296.6	328.61	291.63	297.04	284.05	378.86	301.55	311.34	296.23	305.61	300.44	318.65	307.78	262.56
ENSG00000002549	2697.86	2717.76	2554.49	3880.9	2809.96	3425.35	2734.66	3103.59	2596.25	2278.98	2668.6	2732.94	2987.85	2511.02	2482.11	2826.9	2616.6	3094.26	3480.37	3069.75	2369.06	2841.6	2867.18	2953.48	2807.69	2608.01	2758.42	3036.43	2568.84	2556.9	3751.32	2861.72	2767.98	2999.97	2973.47	2672.54
ENSG00000002587	16.43	31.04	40.29	42.36	55.23	53.2	17.15	25.4	39.81	45.27	26.2	9.11	27.61	22.42	21.98	24.06	36.72	29.37	36.64	25.79	29.93	29.97	44.27	30.07	18.54	43.19	26.51	13.78	23.34	28.95	25.21	33.04	45.06	38.11	30.82	53.11
ENSG00000002746	18.41	46.48	66.38	63.32	75.74	28.17	54.57	68.95	24.77	4.5	30.94	29.38	38.22	73.27	30.17	101.72	32.73	76.68	20.74	60.88	41.49	44.57	28.99	26.89	39.56	57.75	24.28	12.22	86.74	40.18	64.06	42.86	50.5	28.73	39.39	33.37
ENSG00000002822	616.59	620.47	592.41	583.84	679.89	540.43	637.31	564.41	635.52	669.14	570.46	546.9	629.91	629.88	644.36	530.04	523.31	481.41	609.09	539.86	765.18	536.81	484.61	684.83	577.72	725.86	579.22	746.83	549.67	626.95	638.07	602.77	684.49	641.81	625.38	506.85
ENSG00000002834	3614.36	3090.18	2828.8	2661.32	3032.01	2724.13	2778.88	3072.66	3430.16	2400.99	2718.44	2802.36	2610.74	2599.05	3408.47	3075.51	2884.88	2747.2	3060.07	3064.89	2977.12	2781.93	2480.44	2966.45	3011.33	2733.12	3209.79	2767.01	2614.67	2953.62	2822.54	2883.33	2632.44	2697.95	2978.48	3065.33
ENSG00000002919	509.92	505.5	481.28	589.31	485.75	606.12	489.19	504.71	558.01	447.12	449.6	417.49	567.19	469.8	410.48	515.46	549.53	515.77	551.72	585.46	453.63	572.33	497.72	519.38	525.01	459.55	551.18	534.22	450.12	472.13	509.93	507.87	491.69	472.46	522.31	489.09
ENSG00000002933	513.08	459.68	305	482.58	472.62	305.45	443.69	242.43	482.02	505.67	242.77	320.01	613.97	296.5	436.98	350.95	227.5	339.82	558.29	374.94	461.51	451.78	368.09	492.07	415.43	652.24	406.37	477.39	265.88	265.13	475.86	401.58	367.85	378.09	460.9	396.09
ENSG00000003056	1260.83	1284.07	1199.13	1255.57	1197.35	1330.29	1164.1	1191.66	1271.91	1182.29	1314.81	1184.62	1303.54	1233.27	1149.23	1297.37	1084.52	1343.89	1387.14	1295.63	1194.11	1245.91	1143.28	1227.13	1265.74	1224.94	1338.97	1304.6	1213.09	1169.49	1150.72	1245.58	1271.82	1260.18	1257.06	1278.47
ENSG00000003096	279.98	371.26	347.38	306.53	409.6	407.16	334.81	442.84	312.44	353.77	297.08	371.31	274.03	332.33	506.98	439.66	324.2	341.53	416.9	242.19	360.33	246.93	386.07	360.53	274.65	384.85	348.28	363.89	382.95	346.07	352.21	354.06	314.25	264.25	372.9	399.94
ENSG00000003137	411.22	332.77	395.77	477.6	300.8	596.88	576.27	369.65	460.46	239.36	297.56	180.95	371.46	505.11	226.17	541.51	439.1	355.34	350.96	195.26	372.03	159.69	227.67	250.96	322.31	385.16	444.8	311.96	567.84	533.82	386.81	381.06	892.3	435.13	420.51	286.93
